time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2820096,3091,1377,912,0.00010909759999999999,0.16983831580728292,-4.297840043902397,-0.00954182437271811,5504,0.007864924,0.009225506335496902,0.15,0.9493871331214905,0.0906982421875,798.32,36.5999913
2822144,3093,1378,912,0.00010899519999999998,0.13589364453218877,-4.24626787006855,-0.008188074134523049,5508,0.00482909,0.015435189008712769,0.15,0.9605323672294617,0.084228515625,795.78,36.44382476
2824192,3096,1379,912,0.00010889280000000002,0.10530887055210769,-4.322270691394806,-0.008188443403923884,5512,0.004287243,-0.019292887300252914,0.15,0.9786527752876282,0.053466796875,793.22,36.351195759999996
2826240,3098,1380,912,0.00010879040000000001,0.11078166961669922,-4.2914207726716995,-0.0062220810214057565,5516,0.004944389,0.004466548562049866,0.15,0.9857646226882935,0.069091796875,793.51,36.47204981
2828288,3101,1381,912,0.00010868800000000001,0.22122784331440926,-4.251758009195328,-0.006401197286322713,5520,0.005854385,0.032262519001960754,0.15,0.9722065329551697,0.094970703125,793.05,36.42452015
2830336,3103,1382,911,0.0001085856,0.13879437977448106,-4.2045848071575165,-0.011342358775436878,5524,0.0074205827,-0.001901879906654358,0.15,0.9786940813064575,0.0985107421875,794.09,36.46374041
2832384,3105,1383,911,0.0001084832,0.13135301531292498,-4.268599286675453,-0.007535261946031824,5528,0.005452209,-0.004563525319099426,0.15,0.97603440284729,0.06591796875,793.21,36.41666708
2834432,3108,1384,911,0.0001083808,0.11682757013477385,-4.24917171895504,-0.006998835757258348,5532,0.006682003,-0.007703851908445358,0.15,0.977378249168396,0.071533203125,791.83,36.33832867
2836480,3111,1385,911,0.0001082784,0.12100082403048873,-4.332976430654526,-0.007374047534540296,5536,0.004932843,-0.002066243439912796,0.15,0.9746555685997009,0.0672607421875,792.09,36.30470299
2838528,3113,1386,911,0.000108176,0.11785652581602335,-4.345532074570656,-0.008475022681523114,5540,0.0057005463,-0.022871285676956177,0.15,0.9751893281936646,0.0721435546875,792.18,36.214770249999994
2840576,3116,1387,911,0.0001080736,0.110617243219167,-4.372907340526581,-0.010220941578154452,5544,0.0063254074,-0.006574817001819611,0.15,0.9832655787467957,0.0869140625,795.28,36.42162788
2842624,3119,1388,911,0.00010797119999999999,0.10461555304937065,-4.2685288935899734,-0.007339999661780894,5548,0.00427746,-0.02329586073756218,0.15,0.9835079908370972,0.061767578125,793.81,36.345644279999995
2844672,3121,1389,911,0.00010786879999999999,0.09084904473274946,-4.283186599612236,-0.009011602378450334,5552,0.0059352876,-0.02437683194875717,0.15,0.9851932525634766,0.063232421875,798.83,36.53559251
2846720,3124,1390,911,0.00010776640000000001,0.1348355575464666,-4.254219561815262,-0.004058642603922635,5556,0.0055239447,0.01068633422255516,0.15,0.9820400476455688,0.082275390625,798.83,36.53559251
2848768,3127,1391,910,0.00010766400000000002,0.12921444699168205,-4.304170832037926,-0.007010481145698577,5560,0.006502956,-0.0013175979256629944,0.15,0.955187201499939,0.0947265625,796.72,36.48030741
2850816,3129,1392,910,0.00010756160000000001,0.08356979512609541,-4.330150231719017,-0.010567547200480476,5564,0.0062167104,-0.030602961778640747,0.15,0.9731072783470154,0.0872802734375,800.09,36.584580769999995
2852864,3132,1393,910,0.0001074592,0.0958438531961292,-4.2758378982543945,-0.008180671778973192,5568,0.005173844,-0.0034279562532901764,0.15,0.9856270551681519,0.06982421875,803.45,36.736366419999996
2854912,3135,1394,910,0.00010735680000000001,0.14817865518853068,-4.319029241800308,-0.00673006524448283,5572,0.007536216,0.019518807530403137,0.15,0.9828502535820007,0.0909423828125,801.72,36.6768097
2856960,3137,1395,910,0.0001072544,0.14082330418750644,-4.266656681895256,-0.005995096784317866,5576,0.0052273828,-0.002165514975786209,0.15,0.9813582301139832,0.076171875,803.67,36.675829709999995
2859008,3140,1396,910,0.000107152,0.1191728264093399,-4.258758157491684,-0.009172113626846112,5580,0.0050449884,-0.010445229709148407,0.15,0.9823668003082275,0.075439453125,804.51,36.701937769999994
2861056,3142,1397,910,0.0001070496,0.13529127510264516,-4.269478142261505,-0.0074184009281452745,5584,0.004294201,0.013628069311380386,0.15,0.9690870046615601,0.0750732421875,801.64,36.7592332
2863104,3145,1398,910,0.00010694719999999999,0.11415223428048193,-4.260941609740257,-0.009486551920417696,5588,0.0060417643,-0.010099649429321289,0.15,0.9735540747642517,0.083251953125,802.03,36.79776461
2865152,3148,1399,910,0.0001068448,0.1264482345432043,-4.401261270046234,-0.008536266817827709,5592,0.0068339217,-0.011398747563362122,0.15,0.9754604697227478,0.0972900390625,796.69,36.66028349
2867200,3150,1400,910,0.00010674239999999999,0.18126952927559614,-4.188624784350395,-0.010392107244115323,5596,0.006412157,0.010746277868747711,0.15,0.9778213500976562,0.0794677734375,797.0,36.661639539999996
2869248,3153,1401,909,0.00010664000000000001,0.1397477888967842,-4.2117969840765,-0.005781906234915368,5600,0.0047175377,0.024325374513864517,0.15,0.984377920627594,0.0582275390625,793.33,36.48969314
2871296,3155,1402,909,0.00010653760000000001,0.13532839948311448,-4.199833661317825,-0.00790367777517531,5604,0.0044551375,0.01760616898536682,0.15,0.9815409779548645,0.05517578125,795.31,36.521993470000005
2873344,3158,1403,909,0.00010643520000000001,0.10110405716113746,-4.29106231033802,-0.0067100646265316755,5608,0.0051128822,-0.0025293752551078796,0.15,0.9815278649330139,0.0560302734375,793.91,36.53913012
2875392,3160,1404,909,0.00010633280000000001,0.10085532115772367,-4.29063755273819,-0.008464142447337508,5612,0.005770145,-0.007424782961606979,0.15,0.9746275544166565,0.081298828125,793.91,36.53913012
2877440,3162,1405,909,0.0001062304,0.14968440611846745,-4.3512192368507385,-0.007898924668552354,5616,0.006409415,-0.0020950064063072205,0.15,0.9529745578765869,0.0860595703125,790.43,36.425646619999995
2879488,3165,1406,909,0.000106128,0.08696775895077735,-4.242153659462929,-0.009450009471038356,5620,0.004357064,-0.020884845405817032,0.15,0.9874144792556763,0.0960693359375,792.97,36.408074299999996
2881536,3168,1407,909,0.0001060256,0.140730450861156,-4.249616399407387,-0.00770279171410948,5624,0.004803599,-0.0017362423241138458,0.15,0.9842410683631897,0.1090087890625,789.78,36.38258625
2883584,3170,1408,909,0.0001059232,0.13406942365691066,-4.141283959150314,-0.0073887349863070995,5628,0.006891027,0.005514681339263916,0.15,0.9768809676170349,0.115234375,790.53,36.44508216
2885632,3172,1409,909,0.00010582079999999999,0.1023321095854044,-4.332814142107964,-0.007788278191583231,5632,0.0044257804,-0.014438442885875702,0.15,0.9727654457092285,0.069580078125,791.73,36.48134681
2887680,3175,1410,909,0.0001057184,0.09390385379083455,-4.394938305020332,-0.0076007641036994755,5636,0.004905494,-0.009091757237911224,0.15,0.9778152108192444,0.066162109375,790.2,36.456586210000005
2889728,3177,1411,909,0.00010561599999999999,0.09103135298937559,-4.351135805249214,-0.008956160367233679,5640,0.006533659,-0.013224411755800247,0.15,0.980744481086731,0.1025390625,784.44,36.34701512
2891776,3179,1412,909,0.00010551360000000002,0.11859672260470688,-4.397848933935165,-0.011221139488043264,5644,0.0053612078,-0.015527166426181793,0.15,0.978767991065979,0.085693359375,786.69,36.46274157
2893824,3181,1413,909,0.00010541120000000001,0.16417795838788152,-4.249017506837845,-0.0066845545516116545,5648,0.0062180334,0.0076778121292591095,0.15,0.9772793650627136,0.09619140625,787.82,36.528903799999995
2895872,3183,1414,909,0.0001053088,0.14235669560730457,-4.1115789115428925,-0.00758246066106949,5652,0.004915858,-0.005386237055063248,0.15,0.9835364818572998,0.0545654296875,786.35,36.52292723
2897920,3185,1415,909,0.00010520640000000001,0.14321928354911506,-4.229858323931694,-0.007618092306074686,5656,0.005546661,-0.012184098362922668,0.15,0.9809016585350037,0.0794677734375,783.74,36.40824004
