time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
2641920,1290,2779,950,-3.6564549803733826,0.01614953,-0.02801722171716392,0.0001840032,0.10371164046227932,0.2264404296875,0.9671640396118164,0.15,5156,-0.04728987067937851,53.87,742.37
2643968,1291,2781,950,-3.747648447751999,0.01831147,-0.027231888321693987,0.000183952,0.1438942898530513,0.2381591796875,0.9411188364028931,0.15,5160,-0.051613949239254,54.14,746.1
2646016,1292,2783,950,-3.68543753772974,0.013990229,-0.0253590764477849,0.0001839008,0.11730355327017605,0.2039794921875,0.9745339155197144,0.15,5164,-0.0268448144197464,54.48,751.14
2648064,1293,2785,950,-3.7354233488440514,0.016719425,-0.029480467579560354,0.0001838496,0.18978064507246017,0.2266845703125,0.9690011739730835,0.15,5168,-0.02328082174062729,54.57,752.04
2650112,1294,2787,950,-3.68653067946434,0.015396154,-0.025922279557562433,0.0001837984,0.0938832857646048,0.24755859375,0.9805065989494324,0.15,5172,-0.04961739853024483,54.56,752.0
2652160,1295,2790,950,-3.6851148679852486,0.015038448,-0.027117897610878572,0.00018374720000000002,0.12237128149718046,0.20361328125,0.9493306875228882,0.15,5176,-0.024723418056964874,54.42,750.49
2654208,1296,2792,950,-3.484288550913334,0.015161365,-0.027342335524735972,0.000183696,0.08631862560287118,0.20751953125,0.9550132751464844,0.15,5180,-0.05577981099486351,54.3,749.84
2656256,1297,2794,950,-3.841048412024975,0.020058021,-0.031339153996668756,0.0001836448,0.07121849514078349,0.2572021484375,0.9753422141075134,0.15,5184,-0.07422129064798355,54.31,750.33
2658304,1298,2796,950,-3.7344813346862793,0.017699964,-0.03059525036951527,0.0001835936,0.1015953819733113,0.246826171875,0.9775331020355225,0.15,5188,-0.05110689997673035,54.65,754.54
2660352,1299,2798,950,-3.602640651166439,0.014256469,-0.02974220909527503,0.0001835424,0.12232588930055499,0.2254638671875,0.9750182628631592,0.15,5192,-0.044308096170425415,54.6,756.0
2662400,1300,2800,950,-3.8357310742139816,0.014439891,-0.025697677541757002,0.0001834912,0.0791206513531506,0.2034912109375,0.9855149388313293,0.15,5196,-0.05788937583565712,54.49,754.45
2664448,1301,2803,950,-3.6667353063821793,0.016475346,-0.030175536550814286,0.00018344,0.1122019540052861,0.227294921875,0.9637146592140198,0.15,5200,-0.04276276379823685,54.51,756.65
2666496,1302,2805,950,-3.850013293325901,0.017119128,-0.023513268999522552,0.00018338880000000002,0.1464865559246391,0.24462890625,0.946841299533844,0.15,5204,-0.033858101814985275,54.62,758.99
2668544,1303,2807,950,-3.7814929485321045,0.01696635,-0.028259982587769628,0.00018333759999999998,0.13006338523700833,0.232421875,0.9556689262390137,0.15,5208,-0.04218331724405289,54.36,756.8
2670592,1304,2809,950,-3.6614376604557037,0.016549101,-0.025316610117442906,0.0001832864,0.1328714892733842,0.1927490234375,0.9679896235466003,0.15,5212,-0.021789193153381348,54.48,758.58
2672640,1305,2811,950,-3.7258137464523315,0.015386008,-0.02352170433732681,0.0001832352,0.19376627262681723,0.21923828125,0.9628738164901733,0.15,5216,-0.0038997605443000793,54.72,762.5
2674688,1306,2813,950,-3.7306851223111153,0.019106999,-0.02336968926829286,0.00018318400000000003,0.1112592052668333,0.2288818359375,0.9757879376411438,0.15,5220,-0.046693652868270874,54.78,763.77
2676736,1307,2815,950,-3.8081081062555313,0.017268304,-0.026726833937573247,0.0001831328,0.11660586670041084,0.24658203125,0.9638398289680481,0.15,5224,-0.04596629738807678,54.76,765.47
2678784,1308,2817,950,-3.8049656376242638,0.01503191,-0.021002907305955887,0.00018308160000000002,0.13658251613378525,0.2177734375,0.9621710777282715,0.15,5228,-0.03440360352396965,54.91,766.79
2680832,1309,2820,950,-3.6792342215776443,0.018206496,-0.028115123772295192,0.0001830304,0.112429617671296,0.2376708984375,0.9575421214103699,0.15,5232,-0.04687425494194031,54.78,765.01
2682880,1310,2822,950,-3.5838208347558975,0.015214797,-0.024412422790192068,0.0001829792,0.13664452615194023,0.2677001953125,0.9752942323684692,0.15,5236,-0.03100523352622986,54.73,765.1
2684928,1311,2824,950,-3.7989885360002518,0.015353031,-0.021293315643561073,0.00018292799999999998,0.17166768992319703,0.2208251953125,0.9528248906135559,0.15,5240,-0.009257026016712189,54.78,766.99
2686976,1312,2826,950,-3.7712641283869743,0.0140270665,-0.022542858903761953,0.0001828768,0.1490552315954119,0.1978759765625,0.9614743590354919,0.15,5244,-0.01660487800836563,54.78,766.99
2689024,1313,2828,950,-3.6687100157141685,0.017697195,-0.026415629457915202,0.0001828256,0.08213065611198545,0.2158203125,0.9653854966163635,0.15,5248,-0.044863518327474594,54.89,767.85
2691072,1314,2830,950,-3.8315699473023415,0.015287688,-0.02237635644269176,0.0001827744,0.13525548204779625,0.2474365234375,0.9410346150398254,0.15,5252,-0.01494048535823822,55.04,771.1
2693120,1315,2832,950,-3.6518820226192474,0.015150942,-0.029613874125061557,0.00018272320000000002,0.15431225090287626,0.22119140625,0.9634774327278137,0.15,5256,-0.039665959775447845,54.85,769.83
2695168,1316,2834,950,-3.786767400801182,0.017941236,-0.025692229668493383,0.00018267200000000002,0.17719890526495874,0.254638671875,0.959144115447998,0.15,5260,-0.01277090609073639,54.82,770.24
2697216,1317,2836,950,-3.779344506561756,0.018581564,-0.02841861595516093,0.0001826208,0.1627247747965157,0.2152099609375,0.9576260447502136,0.15,5264,-0.018312834203243256,54.88,771.04
2699264,1318,2839,950,-3.759133778512478,0.0144109335,-0.02531789298518561,0.0001825696,0.12758629000745714,0.216796875,0.9572674036026001,0.15,5268,-0.03704776242375374,54.89,771.18
2701312,1319,2841,950,-3.8621103391051292,0.01438773,-0.02340221324993763,0.0001825184,0.1292822223622352,0.2264404296875,0.9271064400672913,0.15,5272,-0.046080030500888824,54.69,769.36
