time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2899968,545,5312,1416,5660,0.37648212537169456,0.9100658893585205,-0.04614909100928344,0.15,0.000105104,-0.006579659879207611,0.09311004,-3.4609787687659264,0.339599609375,1055.4,69.94948818
2902016,545,5317,1417,5664,0.35124192805960774,0.9624871015548706,-0.04777964239474386,0.15,0.00010500160000000001,0.01896834373474121,0.095943674,-3.2586047276854515,0.360595703125,1057.71,70.18554815000002
2904064,545,5321,1418,5668,0.2670120783150196,0.9676947593688965,-0.04774168164294679,0.15,0.0001048992,0.01518954336643219,0.10622868,-3.01655463129282,0.353271484375,1057.71,70.18554815000002
2906112,545,5324,1419,5672,0.26601706771180034,0.9363918304443359,-0.046627815696410835,0.15,0.00010479679999999999,-0.03896312415599823,0.111437425,-3.28078406304121,0.365966796875,1059.33,70.31059006000001
2908160,545,5328,1420,5676,0.33043621899560094,0.9469338655471802,-0.046001204347703606,0.15,0.0001046944,-0.01815122365951538,0.13101724,-3.1205708757042885,0.374755859375,1062.05,70.47561730000001
2910208,545,5332,1421,5680,0.386241024825722,0.9212936162948608,-0.04837761665112339,0.15,0.00010459199999999999,0.004315368831157684,0.098731175,-3.15008082985878,0.36962890625,1062.05,70.47561730000001
2912256,545,5335,1422,5684,0.22887691296637058,0.9459699392318726,-0.052089125267229974,0.15,0.0001044896,-0.043158307671546936,0.10024464,-3.273294188082218,0.3597412109375,1064.5,70.42268328000002
2914304,545,5339,1423,5688,0.21771430666558444,0.9535250067710876,-0.05324287267285399,0.15,0.00010438720000000002,-0.060027360916137695,0.10355183,-3.4422222077846527,0.3851318359375,1064.5,70.42268328000002
2916352,545,5342,1424,5692,0.25437173480167985,0.9599046111106873,-0.05469243542756885,0.15,0.00010428480000000001,-0.041804417967796326,0.13798954,-3.636263184249401,0.38330078125,1064.26,70.49751012
2918400,545,5346,1425,5696,0.18578876415267587,0.9755390286445618,-0.04697856574784964,0.15,0.00010418240000000001,-0.06259596347808838,0.104700655,-3.4974897131323814,0.347900390625,1064.92,70.57807783
2920448,545,5350,1426,5700,0.1710535443853587,0.9805476069450378,-0.053913904092041776,0.15,0.00010408,-0.06292011588811874,0.11518288,-3.485111951828003,0.385498046875,1069.44,70.51940469
2922496,545,5353,1427,5704,0.3269594539888203,0.963019847869873,-0.043020341836381704,0.15,0.00010397760000000001,-0.0035776644945144653,0.09861767,-3.4652026519179344,0.3380126953125,1070.81,70.59560112
2924544,545,5357,1428,5708,0.2711557683069259,0.9668140411376953,-0.045792564837029204,0.15,0.0001038752,-0.003482326865196228,0.103303716,-3.1203371584415436,0.33740234375,1074.31,70.72089245000001
2926592,545,5361,1429,5712,0.17088991869241,0.977571964263916,-0.054339397844159976,0.15,0.0001037728,-0.06217728555202484,0.11605387,-3.2017095163464546,0.390380859375,1078.41,70.99816199000001
2928640,545,5364,1430,5716,0.1829372753854841,0.9708411693572998,-0.05381436549942009,0.15,0.0001036704,-0.054469410330057144,0.11150321,-3.209767386317253,0.376953125,1077.58,71.06066021000001
2930688,545,5368,1431,5720,0.37712073465809226,0.9275403022766113,-0.04905530594987795,0.15,0.000103568,0.02006753534078598,0.09465537,-3.4209228456020355,0.369140625,1077.58,71.06066021000001
2932736,545,5372,1432,5724,0.2618261300958693,0.9555777311325073,-0.05440078308311058,0.15,0.00010346559999999999,-0.05135910212993622,0.098021,-3.344297729432583,0.3616943359375,1078.01,71.05965784000001
2934784,545,5375,1433,5728,0.24189796624705195,0.9635992646217346,-0.04387988911184948,0.15,0.00010336319999999999,-0.026594802737236023,0.08864425,-3.357407033443451,0.336181640625,1076.99,70.99909647
2936832,545,5378,1434,5732,0.2781006507575512,0.9623390436172485,-0.05000704529811628,0.15,0.00010326080000000001,-0.024560436606407166,0.10169854,-3.320726029574871,0.3623046875,1076.74,71.13847563
