time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range
8722432,9937,4259,877,0.2937789442948997,0.08154296875,-3.660686008632183,0.005256376,0.046973906457424164,-0.013824429013766348,973.72,80.57,0.9325721263885498,17032,3.1990400000000005e-05,0.15
8724480,9940,4260,877,0.31092750560492277,0.0714111328125,-3.5718736574053764,0.0055749635,0.04949053004384041,-0.0130902721430175,965.37,79.86,0.9544531106948853,17036,3.19392e-05,0.15
8726528,9942,4261,877,0.3535392847843468,0.1033935546875,-3.58990141749382,0.0054486385,0.04460719972848892,-0.016396331790019758,963.53,79.6,0.9582481384277344,17040,3.1888000000000004e-05,0.15
8728576,9944,4262,877,0.36685452423989773,0.098876953125,-3.459224112331867,0.007980613,0.08431210368871689,-0.009850546426605433,965.61,80.25,0.9543806314468384,17044,3.18368e-05,0.15
8730624,9946,4263,877,0.40322784427553415,0.0799560546875,-3.5714263021945953,0.005141832,0.11247764527797699,-0.0119931173248915,966.4,80.04,0.954636812210083,17048,3.1785599999999996e-05,0.15
8732672,9949,4264,877,0.3869292610324919,0.063720703125,-3.396800920367241,0.005900533,0.09500966966152191,-0.011395017441827804,969.07,80.32,0.9518306255340576,17052,3.17344e-05,0.15
8734720,9951,4265,877,0.43020533863455057,0.1234130859375,-3.597975045442581,0.008523928,0.13359564542770386,-0.0118309001554735,966.33,80.15,0.9345546960830688,17056,3.1683199999999995e-05,0.15
8736768,9954,4266,877,0.28584440238773823,0.090576171875,-3.4881130680441856,0.007860767,0.05840103700757027,-0.011673513450659811,968.16,80.34,0.9502293467521667,17060,3.163199999999999e-05,0.15
8738816,9956,4267,877,0.1901430613361299,0.06689453125,-3.587338365614414,0.0056234794,0.02625739574432373,-0.01627866071066819,978.15,81.34,0.9737895727157593,17064,3.1580799999999994e-05,0.15
8740864,9958,4268,877,0.30489532882347703,0.08056640625,-3.264664687216282,0.006595291,0.052860237658023834,-0.01463665411574766,963.86,79.8,0.9436046481132507,17068,3.152959999999999e-05,0.15
8742912,9961,4269,877,0.43892579013481736,0.13720703125,-3.5120968967676163,0.009441424,0.08134862035512924,-0.011433017964009196,967.52,80.29,0.9384930729866028,17072,3.147839999999999e-05,0.15
8744960,9963,4270,877,0.40647398633882403,0.0572509765625,-3.5957084000110626,0.0051853717,0.12294439226388931,-0.013976651593111455,966.14,80.47,0.9584693908691406,17076,3.142719999999999e-05,0.15
8747008,9965,4271,877,0.30974098294973373,0.0989990234375,-3.4722153544425964,0.007823776,0.10000255703926086,-0.010555151122389361,965.32,80.46,0.9640733599662781,17080,3.1375999999999986e-05,0.15
8749056,9968,4272,877,0.1832873299717903,0.0791015625,-3.449610210955143,0.005692073,-0.0008576735854148865,-0.01737827030592598,971.06,81.12,0.9750703573226929,17084,3.1324800000000016e-05,0.15
8751104,9970,4273,877,0.2856999705545604,0.0572509765625,-3.4242344945669174,0.0053958255,0.03840140998363495,-0.012682728993240744,966.97,80.55,0.9498398900032043,17088,3.127360000000001e-05,0.15
8753152,9972,4274,877,0.3967503411695361,0.0908203125,-3.661815866827965,0.006383463,0.12158720195293427,-0.0056498232297599316,974.01,81.23,0.9343141913414001,17092,3.1222400000000015e-05,0.15
8755200,9975,4275,877,0.34605307783931494,0.0899658203125,-3.6103219017386436,0.0062294174,0.092380091547966,-0.013368416170123965,964.88,80.15,0.9641033411026001,17096,3.117120000000001e-05,0.15
8757248,9977,4276,877,0.34478616435080767,0.1202392578125,-3.433533787727356,0.0101547465,0.07381893694400787,-0.007187624447396956,966.26,80.23,0.9483790397644043,17100,3.112000000000001e-05,0.15
8759296,9979,4277,877,0.3997355131432414,0.078857421875,-3.4647119864821434,0.0045238673,0.09354321658611298,-0.0108336220291676,960.22,79.89,0.9427554607391357,17104,3.106880000000001e-05,0.15
8761344,9982,4278,877,0.26149986917153,0.0712890625,-3.6216567382216454,0.0058064936,0.0712006688117981,-0.01344048700411804,966.17,80.33,0.9779528379440308,17108,3.1017600000000006e-05,0.15
8763392,9984,4279,877,0.2716167699545622,0.05224609375,-3.468531012535095,0.0046240957,0.02758266031742096,-0.01538175917812623,966.17,80.33,0.9653155207633972,17112,3.096640000000001e-05,0.15
8765440,9987,4280,877,0.2431805576197803,0.070068359375,-3.373241387307644,0.0054885,0.047443076968193054,-0.01433906878810376,968.8,80.83,0.9426642060279846,17116,3.0915200000000005e-05,0.15
8767488,9989,4281,877,0.40200354252010584,0.08642578125,-3.4327531307935715,0.007214858,0.07236309349536896,-0.011806017719209194,964.55,80.21,0.9407174587249756,17120,3.0864e-05,0.15
8769536,9991,4282,877,0.23159796511754394,0.07470703125,-3.3787489384412766,0.0054546352,0.011619776487350464,-0.015799070213688537,964.59,79.98,0.9649582505226135,17124,3.0812800000000004e-05,0.15
8771584,9994,4283,877,0.301096438895911,0.07421875,-3.6975125446915627,0.005528695,0.04829379916191101,-0.014138110767817125,963.87,79.77,0.9682039618492126,17128,3.07616e-05,0.15
8773632,9996,4284,877,0.31476377695798874,0.062744140625,-3.5302390828728676,0.0061156377,0.03694162517786026,-0.016818916570628062,960.61,79.84,0.9573351144790649,17132,3.0710399999999997e-05,0.15
8775680,9998,4285,877,0.4993530586361885,0.11767578125,-3.5326843336224556,0.011310257,0.2501544952392578,-0.008922849403461441,958.68,79.72,0.9390392899513245,17136,3.06592e-05,0.15
8777728,10001,4286,877,0.41679951921105385,0.0648193359375,-3.4429403617978096,0.006338848,0.10297605395317078,-0.011538263614056632,950.49,78.86,0.9319894909858704,17140,3.0607999999999996e-05,0.15
8779776,10003,4287,877,0.1719973674044013,0.066650390625,-3.470046602189541,0.005864739,0.004718609154224396,-0.016617652639979497,952.74,79.03,0.9606853723526001,17144,3.05568e-05,0.15
8781824,10005,4288,877,0.20415316801518202,0.06396484375,-3.6864858865737915,0.0060693678,0.01854078471660614,-0.0170549841132015,953.29,78.98,0.9790337085723877,17148,3.0505599999999995e-05,0.15
8783872,10008,4289,877,0.4610687205567956,0.0667724609375,-3.5231559202075005,0.004431191,0.1701636016368866,-0.012457702250685543,957.72,79.39,0.9573512673377991,17152,3.0454399999999994e-05,0.15
8785920,10010,4290,877,0.15702776331454515,0.0511474609375,-3.5820995047688484,0.0045571756,-0.004315607249736786,-0.017178945359773934,952.05,78.7,0.9825564622879028,17156,3.040319999999999e-05,0.15
8787968,10012,4291,877,0.20404109125956893,0.0592041015625,-3.4996774941682816,0.005387497,0.014196217060089111,-0.01611069073260296,953.88,79.03,0.963864803314209,17160,3.035199999999999e-05,0.15
8790016,10015,4292,877,0.36463517788797617,0.0621337890625,-3.402681179344654,0.005655283,0.08408757299184799,-0.014060912129934877,944.08,77.96,0.9265225529670715,17164,3.030079999999999e-05,0.15
8792064,10017,4293,877,0.3122567618265748,0.0755615234375,-3.5102139115333557,0.0063722515,0.09453458338975906,-0.011256263620452955,937.55,77.84,0.9654464721679688,17168,3.024959999999999e-05,0.15
8794112,10020,4294,877,0.5009898855350912,0.164794921875,-3.5965037494897842,0.017776087,0.14295952022075653,-0.0064357161754742265,940.19,78.04,0.9607237577438354,17172,3.019839999999999e-05,0.15
8796160,10022,4295,877,0.2879472132772207,0.0723876953125,-3.546815313398838,0.005708808,0.06162507086992264,-0.011741180205717683,940.19,78.04,0.9730007648468018,17176,3.0147200000000012e-05,0.15
8798208,10024,4296,877,0.24298335751518607,0.0794677734375,-3.551847591996193,0.0070661386,0.03148828446865082,-0.016086630916106515,947.26,78.57,0.9488864541053772,17180,3.009600000000001e-05,0.15
8800256,10027,4297,877,0.2386262696236372,0.050048828125,-3.6100650876760483,0.004200914,0.05904717743396759,-0.013460369518725201,944.48,78.34,0.9604201316833496,17184,3.004480000000001e-05,0.15
8802304,10029,4298,877,0.3819569908082485,0.0899658203125,-3.613587826490402,0.0065295273,0.1011371910572052,-0.011789955344283953,944.12,78.3,0.9203429222106934,17188,2.999360000000001e-05,0.15
8804352,10032,4299,877,0.25578758446499705,0.0845947265625,-3.62638171762228,0.0067720586,0.08886022120714188,-0.017402122990461066,953.21,78.82,0.9682557582855225,17192,2.994240000000001e-05,0.15
8806400,10034,4300,877,0.20996350515633821,0.10009765625,-3.4751268550753593,0.007268543,0.03165489435195923,-0.013469508223352022,953.19,78.84,0.9693515300750732,17196,2.9891200000000006e-05,0.15
8808448,10036,4301,877,0.260497007984668,0.0770263671875,-3.4898065254092216,0.0057833632,0.01806759089231491,-0.0155880828096997,949.26,78.67,0.9573585987091064,17200,2.9840000000000006e-05,0.15
8810496,10039,4302,877,0.3960912926122546,0.0484619140625,-3.499935619533062,0.0045932163,0.15586140751838684,-0.011824300221633166,958.66,79.69,0.9541348218917847,17204,2.9788800000000005e-05,0.15
8812544,10041,4303,877,0.1924992953427136,0.056640625,-3.5553615540266037,0.005446061,-0.014353055506944656,-0.01588802188052796,967.47,80.54,0.9863068461418152,17208,2.9737600000000005e-05,0.15
8814592,10043,4304,877,0.23509887466207147,0.0579833984375,-3.586784154176712,0.004818515,0.04216685891151428,-0.017059564299415797,967.47,80.54,0.9770209789276123,17212,2.96864e-05,0.15
8816640,10046,4305,877,0.1752158342860639,0.049072265625,-3.4491846412420273,0.004146703,0.0021366477012634277,-0.016223576065385714,967.47,80.54,0.9679040908813477,17216,2.96352e-05,0.15
8818688,10048,4306,877,0.3531931508332491,0.0594482421875,-3.553785264492035,0.00507,0.08660751581192017,-0.013347904299735092,967.78,80.36,0.9440413117408752,17220,2.9584e-05,0.15
8820736,10050,4307,877,0.31600279081612825,0.0645751953125,-3.5490356162190437,0.005541683,0.07708563655614853,-0.012455276359105483,963.06,79.77,0.9617800712585449,17224,2.95328e-05,0.15
8822784,10053,4308,877,0.1938015427440405,0.06689453125,-3.5754354372620583,0.0056314208,-0.004517033696174622,-0.017546003102324903,967.99,80.26,0.9705803990364075,17228,2.9481599999999996e-05,0.15
