time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
866,9146368,10550,4466,0.9943389296531677,0.15,0.0025300684,-0.025797057896852493,2.1391999999999994e-05,0.0162353515625,-0.00900553012616001,-3.366175629198551,17860,0.058097552857361734,51.78563941999999,605.47
866,9148416,10552,4467,0.9979335069656372,0.15,0.0035152393,-0.05068209767341614,2.1340799999999994e-05,0.0274658203125,-0.011352009343681857,-3.3022656738758087,17864,0.023864600283559412,51.75758591999999,604.84
866,9150464,10555,4468,0.9973331093788147,0.15,0.0035395303,-0.0369926318526268,2.1289599999999993e-05,0.0260009765625,-0.011623756523476914,-3.2922084033489227,17868,0.038895240460988134,51.77568219999999,605.31
866,9152512,10557,4469,0.9970601797103882,0.15,0.0047943755,-0.027703803032636642,2.123839999999999e-05,0.04541015625,-0.011296502401819453,-3.342024616897106,17872,0.04145052045350894,51.7765452,605.22
866,9154560,10560,4470,0.9960826635360718,0.15,0.0032659224,-0.03800777345895767,2.118719999999999e-05,0.02685546875,-0.01098785777867306,-3.1243617683649063,17876,0.04071182623738423,51.81459201,607.16
866,9156608,10562,4471,0.9960491061210632,0.15,0.0021984112,-0.03799370303750038,2.113599999999999e-05,0.0118408203125,-0.009146639713435434,-3.283499240875244,17880,0.03634697082452476,51.85435813999999,607.86
866,9158656,10565,4472,0.9949384331703186,0.15,0.003168968,-0.03130489960312843,2.1084799999999988e-05,0.0233154296875,-0.010426546359667554,-3.2484334260225296,17884,0.05541672883555293,51.86517169,606.83
866,9160704,10567,4473,0.9967073202133179,0.15,0.0041594254,-0.030682452023029327,2.1033600000000015e-05,0.032958984375,-0.011128241196274757,-3.293312408030033,17888,0.04971355653833598,51.87336686,607.72
866,9162752,10570,4474,0.9976804256439209,0.15,0.003199641,-0.041341476142406464,2.098240000000001e-05,0.024658203125,-0.01013125960889738,-3.1848826482892036,17892,0.02712087595136836,51.74764874999999,605.68
866,9164800,10572,4475,0.9941446185112,0.15,0.004409055,-0.024472704157233238,2.093120000000001e-05,0.0372314453125,-0.010713082243455574,-3.161143697798252,17896,0.049959521275013685,51.73859727,605.78
866,9166848,10574,4476,0.996222972869873,0.15,0.0046888497,-0.035199668258428574,2.088000000000001e-05,0.0498046875,-0.011301898484816775,-3.1214614287018776,17900,0.03609320044051856,51.71699022,606.16
