time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1055,217,112,229376,0.07434598356485367,-0.00224808556959033,0.7147506475448608,0.15,0.2901156162843108,0.0164794921875,-5.322338938713074,9.545344e-05,444,0.0021961792,19.503766069999998,650.26
1055,219,113,231424,0.06419264525175095,-0.001916153880301863,0.8684412837028503,0.15,0.22264345875009894,0.0166015625,-5.370187446475029,9.541248000000001e-05,448,0.0022794344,19.29994446,644.06
1055,221,114,233472,0.04240751639008522,-0.0025225074059562758,0.8533464074134827,0.15,0.23084180196747184,0.0457763671875,-5.376888275146484,9.537152e-05,452,0.0037574228,19.34905307,644.31
1055,223,115,235520,0.023496799170970917,-0.0031715503137093037,0.7992846965789795,0.15,0.20143011817708611,0.0361328125,-5.391034409403801,9.533056e-05,456,0.0031142375,19.32802476,643.28
1056,224,116,237568,0.04978278651833534,-0.00025585728872101754,0.839083194732666,0.15,0.20870900200679898,0.06494140625,-5.375540792942047,9.52896e-05,460,0.003147834,19.27985608,642.26
1055,226,117,239616,0.06962954998016357,-0.001310566090978682,0.7899636626243591,0.15,0.27536643855273724,0.0184326171875,-5.355642318725586,9.524864e-05,464,0.0021606013,19.272525270000003,641.77
1055,228,118,241664,0.1098879873752594,-0.001571721673826687,0.8613828420639038,0.15,0.3113886504434049,0.0113525390625,-5.352150872349739,9.520768e-05,468,0.0022530206,19.29409417,642.64
1056,230,119,243712,0.05740902200341225,-0.0026384450757177547,0.9043570756912231,0.15,0.22318386752158403,0.08642578125,-5.389421924948692,9.516672000000001e-05,472,0.0026043286,19.361196500000002,645.41
1056,232,120,245760,0.031030334532260895,-0.0033695707679726183,0.8877654075622559,0.15,0.1649451544508338,0.0810546875,-5.384506806731224,9.512576000000001e-05,476,0.0043080864,19.366791910000003,646.39
1056,234,121,247808,0.027150429785251617,-0.001674411745625548,0.8654545545578003,0.15,0.19781410368159413,0.0235595703125,-5.348459288477898,9.50848e-05,480,0.0016795249,19.323038750000002,646.4
