time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,rollout/ep_rew_mean,train/learning_rate
2023424,898,988,2252,-0.013221674395026639,0.1639404296875,0.9883987307548523,0.003979519009590149,3948,0.18288515461608768,-4.674118146300316,0.15,177.64,0.009146431,-28.42,0.0001994656
2025472,898,989,2254,-0.012743688057526015,0.1708984375,0.9856718182563782,-0.0013385266065597534,3952,0.17841826681979,-4.698515981435776,0.15,177.84,0.008018561,-28.49,0.0001994144
2027520,898,990,2256,-0.010273479245370254,0.130126953125,0.9904117584228516,0.0009388625621795654,3956,0.15280977170914412,-4.652860835194588,0.15,177.62,0.0072596115,-28.33,0.0001993632
2029568,898,991,2259,-0.012388780640321784,0.12939453125,0.9897676110267639,-0.006134137511253357,3960,0.1418526389170438,-4.690228953957558,0.15,177.54,0.0068908213,-28.36,0.000199312
2031616,898,992,2261,-0.010926787770586088,0.157958984375,0.9873384237289429,0.005398377776145935,3964,0.16163946641609073,-4.689834043383598,0.15,177.59,0.008547256,-28.36,0.00019926080000000002
2033664,898,993,2263,-0.01280215942824725,0.1849365234375,0.9866394400596619,0.0006957501173019409,3968,0.17054212489165366,-4.66519832611084,0.15,177.48,0.012325453,-28.22,0.00019920959999999998
2035712,898,994,2265,-0.014234699017833918,0.18896484375,0.9856610894203186,0.0047425776720047,3972,0.16527240327559412,-4.701309949159622,0.15,177.29,0.013331709,-28.08,0.0001991584
2037760,898,995,2268,-0.009899795666569844,0.1536865234375,0.9869499206542969,0.0067111775279045105,3976,0.17472378024831414,-4.673782393336296,0.15,177.47,0.00867901,-28.11,0.00019910719999999998
2039808,898,996,2270,-0.013536315556848422,0.1221923828125,0.9907313585281372,0.0119476318359375,3980,0.15017180191352963,-4.6646240800619125,0.15,176.92,0.007988733,-27.92,0.00019905600000000003
2041856,898,997,2272,-0.01440178113989532,0.1513671875,0.990506649017334,-0.01067986711859703,3984,0.14076860598288476,-4.699834689497948,0.15,177.06,0.007409786,-28.06,0.00019900480000000002
2043904,898,998,2275,-0.015434238099260256,0.170654296875,0.9897910356521606,0.02875061333179474,3988,0.15322582400403917,-4.718590214848518,0.15,177.53,0.009770205,-28.09,0.00019895360000000002
2045952,898,999,2277,-0.014059707813430578,0.166748046875,0.9906878471374512,0.030935347080230713,3992,0.14713948406279087,-4.744010165333748,0.15,177.25,0.010363335,-27.95,0.00019890240000000002
2048000,898,1000,2279,-0.012888893936178647,0.1380615234375,0.9903362989425659,-0.0035421624779701233,3996,0.13640291034244,-4.653625771403313,0.15,177.46,0.007672617,-28.07,0.0001988512
2050048,898,1001,2281,-0.011235771351493895,0.1534423828125,0.9848127961158752,0.010013096034526825,4000,0.1955699792597443,-4.706898912787437,0.15,176.94,0.0095992135,-28.0,0.0001988
2052096,898,1002,2284,-0.0106901963299606,0.1956787109375,0.9793182611465454,0.07084858417510986,4004,0.24297463754191995,-4.698330730199814,0.15,176.95,0.012350623,-28.2,0.0001987488
