time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
4773,2044,876,4186112,0.15,-0.028651569416979328,0.00014539839999999998,0.9243351817131042,0.303955078125,8172,-0.02939479798078537,-3.6461175978183746,0.22252723388373852,0.046451777,72.16060035000001,1145.93
4776,2045,876,4188160,0.15,-0.028434882944566198,0.0001453472,0.9092001914978027,0.2578125,8176,0.1728513240814209,-3.639459975063801,0.4634686131030321,0.03298065,72.28901169000001,1149.28
4778,2046,876,4190208,0.15,-0.02694356004940346,0.00014529599999999997,0.8914825916290283,0.2525634765625,8180,0.1280822455883026,-3.7006144747138023,0.4416370834223926,0.037991874,71.30285237,1134.41
4780,2047,876,4192256,0.15,-0.02493981597945094,0.00014524480000000002,0.8979164958000183,0.2615966796875,8184,0.04553048312664032,-3.548359662294388,0.4383737603202462,0.033650547,71.09535849999999,1132.65
4782,2048,876,4194304,0.15,-0.028671521256910637,0.00014519360000000002,0.9093719720840454,0.2840576171875,8188,0.05154474079608917,-3.475847728550434,0.27709288615733385,0.040648784,71.19321892999999,1133.82
4785,2049,876,4196352,0.15,-0.03040327876806259,0.00014514240000000001,0.8912377953529358,0.27783203125,8192,0.04702283442020416,-3.6938106939196587,0.3806801247410476,0.042185612,71.09063732999999,1130.02
4787,2050,876,4198400,0.15,-0.027442630613222718,0.0001450912,0.9145296812057495,0.25341796875,8196,0.02640841156244278,-3.481916196644306,0.37301893113180995,0.032252617,70.68328192,1125.42
4790,2051,876,4200448,0.15,-0.027264891716185957,0.00014504,0.915175199508667,0.2540283203125,8200,0.05147196352481842,-3.499360702931881,0.3636902584694326,0.03552161,70.67270824,1124.02
4792,2052,876,4202496,0.15,-0.027402813342632726,0.0001449888,0.9292117953300476,0.276123046875,8204,0.014632940292358398,-3.663180746138096,0.26325044548138976,0.049434148,70.67270824,1124.02
4794,2053,876,4204544,0.15,-0.025701502090669237,0.0001449376,0.8930881023406982,0.3101806640625,8208,0.00874193012714386,-3.6149329245090485,0.21678264811635017,0.03996631,70.43476357,1115.84
4796,2054,876,4206592,0.15,-0.02406376154976897,0.0001448864,0.9393247961997986,0.29931640625,8212,0.03014230728149414,-3.6955472752451897,0.2795051340945065,0.042813495,70.3900706,1113.38
4799,2055,876,4208640,0.15,-0.026352563232649118,0.0001448352,0.9238448143005371,0.25341796875,8216,0.08162325620651245,-3.619767375290394,0.40420645382255316,0.039614126,70.30922065,1113.88
4801,2056,876,4210688,0.15,-0.02639953777543269,0.000144784,0.9350584745407104,0.2701416015625,8220,-0.007090404629707336,-3.555674225091934,0.2584578488022089,0.037850663,70.35047332,1114.39
4803,2057,876,4212736,0.15,-0.028024877727148123,0.0001447328,0.9245777726173401,0.272216796875,8224,0.01597122848033905,-3.6723270043730736,0.30512973479926586,0.03439785,70.16045872,1111.23
4805,2058,877,4214784,0.15,-0.027534486580407247,0.0001446816,0.9330920577049255,0.2462158203125,8228,-0.01853466033935547,-3.5165790617465973,0.24218275723978877,0.035988536,70.09539443999999,1109.4
4808,2059,877,4216832,0.15,-0.03075044072465971,0.0001446304,0.9459348917007446,0.258056640625,8232,0.0054494887590408325,-3.6172686517238617,0.2822671355679631,0.036466956,70.08130728,1110.09
4810,2060,877,4218880,0.15,-0.017017737147398293,0.00014457920000000003,0.9163886904716492,0.27587890625,8236,0.04738239198923111,-3.6409810557961464,0.43936409894376993,0.031884015,70.09537548,1112.67
4812,2061,876,4220928,0.15,-0.025644426175858825,0.000144528,0.9164832830429077,0.2646484375,8240,0.031303226947784424,-3.549274757504463,0.33882738556712866,0.04191524,70.14310547,1113.02
