time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4042752,3952,1974,1022,0.0031603388,-0.009793595832888968,9.592960000000001e-05,-4.36346472799778,0.940226674079895,0.1,0.28246709797531366,0.091064453125,0.09918686002492905,7892,57.60738649000001,941.88
4044800,3954,1975,1022,0.0025622195,-0.008902359899366274,9.57248e-05,-4.362870037555695,0.946721613407135,0.1,0.2858267924748361,0.0772705078125,0.1199440136551857,7896,57.46304499000001,940.24
4046848,3956,1976,1022,0.0034045803,-0.006787891266867518,9.552e-05,-4.339485809206963,0.9445016980171204,0.1,0.32076908089220524,0.1009521484375,0.09391064941883087,7900,57.271797020000015,936.92
4048896,3958,1977,1022,0.003537569,-0.008704921696335077,9.531519999999999e-05,-4.2776708751916885,0.9301092624664307,0.1,0.3526467802003026,0.0921630859375,0.08056891709566116,7904,57.05417449000001,933.95
4050944,3960,1978,1022,0.0058455938,-0.0067885985190514475,9.511039999999999e-05,-4.3584340661764145,0.9125694632530212,0.1,0.3905302402563393,0.1419677734375,0.11582082509994507,7908,57.18399035,934.82
4052992,3962,1979,1022,0.0033187359,-0.00716676410229411,9.490559999999997e-05,-4.228011190891266,0.8932528495788574,0.1,0.4316299660131335,0.102783203125,0.15283885598182678,7912,56.91251195999999,931.35
4055040,3964,1980,1022,0.0035668008,-0.009539996884996071,9.470079999999997e-05,-4.255439892411232,0.9103367328643799,0.1,0.2518446580506861,0.094482421875,0.015439830720424652,7916,56.867688259999994,930.89
4057088,3966,1981,1022,0.0027233064,-0.008362981607206166,9.449600000000002e-05,-4.391552701592445,0.929543137550354,0.1,0.22972626285627484,0.06982421875,0.04659533500671387,7920,57.20133979,935.21
4059136,3968,1982,1022,0.0032734496,-0.009633421112084761,9.429120000000002e-05,-4.410930082201958,0.9482538104057312,0.1,0.2393275792710483,0.08642578125,0.05224353075027466,7924,56.94244388999999,931.75
4061184,3970,1983,1022,0.0051609087,-0.0059451030974742025,9.408640000000002e-05,-4.402577847242355,0.9444352984428406,0.1,0.237178904004395,0.110107421875,0.014747370034456253,7928,57.28875556,937.11
4063232,3972,1984,1022,0.0028220569,-0.008464500875561498,9.38816e-05,-4.467747390270233,0.9823300838470459,0.1,0.13136306684464216,0.09912109375,0.0006140060722827911,7932,58.02673798000001,947.67
4065280,3974,1985,1022,0.0032107064,-0.00918140851717908,9.36768e-05,-4.374655112624168,0.9803195595741272,0.1,0.14106697007082403,0.0872802734375,0.003965556621551514,7936,58.02673798000001,947.67
4067328,3976,1986,1022,0.0044857264,-0.007791459531290457,9.3472e-05,-4.365479841828346,0.9524608254432678,0.1,0.218057444319129,0.1136474609375,0.005480051040649414,7940,58.158760120000004,950.27
4069376,3978,1987,1022,0.0032699609,-0.005441418936243281,9.32672e-05,-4.352751925587654,0.9387741088867188,0.1,0.2285779993981123,0.110107421875,0.0641179159283638,7944,58.78687395,958.47
4071424,3980,1988,1022,0.0032260604,-0.006086577806854621,9.306239999999999e-05,-4.352465808391571,0.9425190091133118,0.1,0.286502655595541,0.09619140625,0.05990905687212944,7948,58.70090185,957.49
4073472,3982,1989,1022,0.0031045773,-0.007044420737656765,9.285759999999998e-05,-4.350539609789848,0.9265897274017334,0.1,0.2329638972878456,0.0950927734375,0.055318258702754974,7952,58.66944906,958.22
4075520,3984,1990,1022,0.0036837084,-0.008983726322185248,9.265279999999998e-05,-4.397739917039871,0.9565940499305725,0.1,0.22345123486593366,0.099365234375,0.03406627103686333,7956,59.037630590000006,964.36
4077568,3986,1991,1022,0.00325306,-0.008411130693275481,9.244799999999998e-05,-4.378224566578865,0.9598526358604431,0.1,0.23891575168818235,0.075439453125,0.021871302276849747,7960,58.983820030000004,963.94
4079616,3988,1992,1022,0.0035436046,-0.009086197460419498,9.224320000000003e-05,-4.372773364186287,0.9376752376556396,0.1,0.2933197380043566,0.09423828125,0.046785540878772736,7964,58.9946853,963.61
4081664,3990,1993,1022,0.004307504,-0.008296974934637547,9.203840000000002e-05,-4.3419677168130875,0.945383608341217,0.1,0.3178693256340921,0.138671875,0.06986784934997559,7968,59.46432494,970.99
4083712,3992,1994,1022,0.004597535,-0.006650987081229687,9.183360000000001e-05,-4.357615500688553,0.938736617565155,0.1,0.2994448230601847,0.1204833984375,0.11627890169620514,7972,59.67086219,972.68
4085760,3995,1995,1022,0.0034636133,-0.00832218951836694,9.162880000000001e-05,-4.3487905859947205,0.9194992780685425,0.1,0.29678698210045695,0.1221923828125,0.09178531914949417,7976,59.137663589999995,964.25
4087808,3996,1996,1022,0.003691027,-0.0062187573639675975,9.142400000000001e-05,-4.395360887050629,0.9135286808013916,0.1,0.34600045438855886,0.1143798828125,0.058551233261823654,7980,58.79155028,959.57
4089856,3999,1997,1022,0.0066328663,0.00030413870990742,9.12192e-05,-4.4609514772892,0.9365020990371704,0.1,0.47537786420434713,0.1572265625,0.19470825791358948,7984,58.890726990000005,960.63
