time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
215040,1032,208,105,-0.004655057200579904,416,0.0002393504,0.005755811,0.05397489294409752,0.2,-5.130955174565315,0.2478192592971027,0.9428752660751343,0.096923828125,21.540322949999997,604.78
217088,1033,210,106,-0.00818578440521378,420,0.00023924799999999998,0.008467951,0.045931026339530945,0.2,-5.143770471215248,0.2558891633525491,0.9289917945861816,0.0870361328125,21.56050009,604.28
219136,1033,212,107,-0.003992866360931657,424,0.00023914560000000003,0.0041497704,0.017896901816129684,0.2,-5.22229328751564,0.22495223628357053,0.9371589422225952,0.0333251953125,21.392744670000003,598.87
221184,1033,214,108,-0.006940634222701192,428,0.00023904320000000002,0.008531626,0.01573919504880905,0.2,-5.271871700882912,0.21653872588649392,0.9267041683197021,0.0570068359375,21.45179377,595.85
223232,1033,216,109,-0.0055032527016010135,432,0.00023894080000000001,0.006771788,0.0329190269112587,0.2,-5.2117283791303635,0.16677767038345337,0.9650599956512451,0.0694580078125,21.564315030000003,601.18
225280,1033,218,110,-0.004266275936970487,436,0.0002388384,0.0048427656,0.048899076879024506,0.2,-5.090525314211845,0.19916339125484228,0.9541559815406799,0.047119140625,21.53680093,600.74
227328,1033,220,111,-0.005968246507109143,440,0.000238736,0.0056357253,0.034613367170095444,0.2,-5.185933083295822,0.21483510825783014,0.9219381809234619,0.05810546875,21.58324271,600.23
229376,1032,222,112,-0.0075676385895349085,444,0.00023863360000000002,0.0072648246,0.020678821951150894,0.2,-5.329912856221199,0.17724363040179014,0.855393648147583,0.0721435546875,21.981087679999995,604.81
231424,1033,223,113,-0.006766186386812478,448,0.0002385312,0.011021757,0.02314087748527527,0.2,-5.1708226799964905,0.23878073785454035,0.9426877498626709,0.095458984375,22.130774329999998,607.96
233472,1032,226,114,-0.005252009810646996,452,0.0002384288,0.012152256,0.05611855536699295,0.2,-5.11487652361393,0.25538205867633224,0.9395636916160583,0.0955810546875,22.13733962,609.51
