time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1036,4050,2050,4198400,0.0027591104,8196,0.5134163284674287,0.8881928324699402,-0.0019047467212658376,1.6072960000000004e-05,0.21341946721076965,0.0123291015625,0.2,-4.258062541484833,861.39,48.838723040000005
1036,4052,2051,4200448,0.0025703767,8200,0.5010040188208222,0.8989259600639343,-0.001381175359711051,1.6032e-05,0.1714203655719757,0.007568359375,0.2,-4.289687439799309,867.69,49.266097140000014
1036,4054,2052,4202496,0.0020314371,8204,0.46518330182880163,0.9214186668395996,-0.003024394522071816,1.5991040000000003e-05,0.1720649003982544,0.016357421875,0.2,-4.280755788087845,868.89,49.21083116000002
1036,4056,2053,4204544,0.0040401644,8208,0.35694950446486473,0.9379937648773193,-0.004348704795120284,1.595008e-05,0.10199808329343796,0.02734375,0.2,-4.268775746226311,867.25,48.98249166000001
1036,4058,2054,4206592,0.001809417,8212,0.28667947463691235,0.9371746778488159,-0.0029818902839906514,1.590912e-05,0.0916365385055542,0.0145263671875,0.2,-4.273961216211319,864.13,48.56782630000001
1036,4060,2055,4208640,0.0049337572,8216,0.45873615331947803,0.894892156124115,-0.002475562781910412,1.586816e-05,0.1420278549194336,0.0277099609375,0.2,-4.217846751213074,861.45,48.36491896000001
1036,4062,2056,4210688,0.0029985136,8220,0.4606450079008937,0.8688306212425232,-0.003798211706453003,1.5827199999999996e-05,0.17854928970336914,0.0360107421875,0.2,-4.198393672704697,864.0,48.553764869999995
1036,4064,2057,4212736,0.0052407384,8224,0.5670307213440537,0.8162702322006226,-0.004713455404271372,1.5786239999999997e-05,0.21412256360054016,0.035400390625,0.2,-4.180460944771767,867.33,48.74551366
1036,4066,2058,4214784,0.005274715,8228,0.5504591269418597,0.918777585029602,-0.0036077739496249706,1.5745279999999995e-05,0.19095683097839355,0.052734375,0.2,-4.105807214975357,866.88,48.73117422
1036,4068,2059,4216832,0.0033474485,8232,0.37921342253685,0.9106984734535217,-0.00218323060835246,1.5704320000000006e-05,0.13152635097503662,0.02880859375,0.2,-4.227470830082893,866.12,48.676850859999995
1036,4070,2060,4218880,0.0026208356,8236,0.3770125498995185,0.9067525267601013,-0.0014880767703289166,1.5663360000000004e-05,0.10016752034425735,0.01416015625,0.2,-4.191479027271271,865.72,48.75940548999999
1036,4072,2061,4220928,0.0031466107,8240,0.5722044222056866,0.8266498446464539,-0.0030234004952944815,1.5622400000000005e-05,0.2592599093914032,0.0157470703125,0.2,-4.216376379132271,861.94,48.67565543999999
1036,4074,2062,4222976,0.004433696,8244,0.42812338192015886,0.9034890532493591,-0.0023474813206121325,1.5581440000000002e-05,0.14560356736183167,0.0277099609375,0.2,-4.2090466767549515,854.05,48.10039497999999
1036,4076,2063,4225024,0.003235322,8248,0.2401590533554554,0.9485498070716858,-0.005448992713354528,1.5540480000000003e-05,0.05760635808110237,0.0260009765625,0.2,-4.202564433217049,852.45,48.05073777999999
1036,4078,2064,4227072,0.0031426554,8252,0.44464937783777714,0.8746678829193115,-0.0035627439501695335,1.549952e-05,0.1473175436258316,0.0211181640625,0.2,-4.217078939080238,848.55,47.94265090999999
1036,4080,2065,4229120,0.0035296085,8256,0.37943792529404163,0.8817086219787598,-0.0012600835761986673,1.545856e-05,0.11653123795986176,0.017333984375,0.2,-4.2298697382211685,848.54,47.933875509999986
1036,4082,2066,4231168,0.005183886,8260,0.6064438372850418,0.8678169250488281,-0.0016576624766457826,1.54176e-05,0.19279275834560394,0.0262451171875,0.2,-4.164838522672653,852.77,48.21127924
1036,4084,2067,4233216,0.0028034293,8264,0.4627886563539505,0.8950856328010559,-0.002286818722495809,1.5376639999999997e-05,0.15402472019195557,0.023681640625,0.2,-4.224597290158272,850.26,48.06321657
1036,4086,2068,4235264,0.0035070276,8268,0.40537052135914564,0.9276221394538879,-0.0034912356350105256,1.5335679999999998e-05,0.19391700625419617,0.0155029296875,0.2,-4.174537003040314,847.59,47.63022306999999
1036,4088,2069,4237312,0.0019043852,8272,0.4134478000923991,0.9277669787406921,-0.0008830534352455288,1.5294719999999996e-05,0.12892088294029236,0.0067138671875,0.2,-4.162943586707115,844.61,47.406698909999996
1036,4090,2070,4239360,0.0031309521,8276,0.34804416727274656,0.9392988085746765,-0.003264393249992281,1.5253760000000005e-05,0.1257687509059906,0.0142822265625,0.2,-4.112298741936684,844.61,47.406698909999996
1036,4092,2071,4241408,0.002817139,8280,0.331092769280076,0.8758968710899353,-0.0018412790523143485,1.5212800000000005e-05,0.1266641914844513,0.0191650390625,0.2,-4.177251726388931,840.36,47.16899394
1036,4094,2072,4243456,0.0036637774,8284,0.46374508645385504,0.8105719685554504,-0.0034386068145977333,1.5171840000000004e-05,0.17923417687416077,0.0245361328125,0.2,-4.192240446805954,837.86,47.06588753
1036,4096,2073,4245504,0.0054467563,8288,0.6130539821460843,0.8162385821342468,-0.0005432657490018755,1.5130880000000003e-05,0.20396849513053894,0.0404052734375,0.2,-4.140306651592255,838.83,47.33986962
1036,4098,2074,4247552,0.0034935952,8292,0.6035894388332963,0.9061228632926941,-0.001970717217773199,1.5089920000000002e-05,0.2267235815525055,0.021240234375,0.2,-4.0797611474990845,839.46,47.286435919999995
1036,4100,2075,4249600,0.0028348167,8296,0.3419068995863199,0.923069953918457,-0.00241710823320318,1.504896e-05,0.06305849552154541,0.0186767578125,0.2,-4.125334486365318,843.1,47.69585572
1036,4102,2076,4251648,0.0062780236,8300,0.49239434860646725,0.9062683582305908,-0.002646770401042886,1.5008e-05,0.18964901566505432,0.038330078125,0.2,-4.158340826630592,844.53,47.988283179999996
1036,4104,2077,4253696,0.006167258,8304,0.5097832968458533,0.9082736968994141,-0.0020695425919257104,1.4967039999999999e-05,0.21050047874450684,0.0347900390625,0.2,-4.118151605129242,836.48,47.55924609999999
1036,4106,2078,4255744,0.0016595786,8308,0.49676589854061604,0.8912339210510254,-0.0015446415927726775,1.4926079999999998e-05,0.2491963505744934,0.0098876953125,0.2,-4.142110034823418,836.15,47.621219759999995
1036,4108,2079,4257792,0.0048646545,8312,0.3832869650796056,0.8797839283943176,-0.0009109948587138206,1.4885119999999997e-05,0.13458113372325897,0.02783203125,0.2,-4.154077976942062,837.04,47.74727329
1036,4110,2080,4259840,0.0033582302,8316,0.4706940157338977,0.8757414817810059,-0.002709630411118269,1.4844159999999996e-05,0.2262917160987854,0.01708984375,0.2,-4.137682095170021,835.56,47.918820880000006
1036,4112,2081,4261888,0.00397621,8320,0.5914422087371349,0.8752284049987793,-0.002856463921489194,1.4803200000000006e-05,0.20720693469047546,0.03173828125,0.2,-4.10146027803421,828.62,47.52086453
1036,4114,2082,4263936,0.0030890168,8324,0.3774484172463417,0.9352558851242065,-0.0040705296996748075,1.4762240000000005e-05,0.17945310473442078,0.0238037109375,0.2,-4.13990131020546,829.97,47.63310626999999
1036,4116,2083,4265984,0.0032369266,8328,0.46453969553112984,0.8844243884086609,-0.001828907465096563,1.4721280000000005e-05,0.15322288870811462,0.0335693359375,0.2,-4.189614728093147,837.85,48.17092838000001
